artist,track,listeners,playcount
Kanye West,Runaway,1599019,24788508
Kanye West,All Falls Down,1562965,20716223
Kanye West,Homecoming,1451245,19684660
Kanye West,Devil in a New Dress,1385618,24573853
Kanye West,Champion,1379043,15057863
Kanye West,Through the Wire,1357129,14971696
Kanye West,Love Lockdown,1290640,10742302
Kanye West,Dark Fantasy,1276248,14047788
Kanye West,Violent Crimes,1275706,23406103
Kanye West,Black Skinhead,1273376,16718677
Lady Gaga,Poker Face,3531735,40415492
Lady Gaga,Bad Romance,2984841,37713777
Lady Gaga,Paparazzi,2739321,31162050
Lady Gaga,Just Dance,2715774,27139307
Lady Gaga,LoveGame,2026225,21549358
Lady Gaga,Alejandro,1931120,24649627
Lady Gaga,Judas,1884312,32634117
Lady Gaga,Telephone,1766711,21327772
Lady Gaga,Die with a Smile,1707738,29917521
Lady Gaga,Born This Way,1545464,22203876
Lady Gaga,Applause,1531817,20402866
Lady Gaga,Monster,1152985,15130302
Lady Gaga,Bloody Mary,1140433,15497610
Lady Gaga,Abracadabra,1110721,24826378
Lady Gaga,The Edge of Glory,936248,10871009
Lady Gaga,Rain on Me (with Ariana Grande),904933,17607871
Lady Gaga,Summerboy,902744,8464242
Lady Gaga,Shallow,902224,8586085
Lady Gaga,Money Honey,828612,6824410
Lady Gaga,Government Hooker,823518,11385038
Drake,One Dance,1880589,21516801
Drake,Best I Ever Had,1773045,12105559
Drake,Passionfruit,1548606,26845609
Drake,God's Plan,1416466,14198223
Drake,Hotline Bling,1383642,12015944
Drake,Forever,1235673,6527635
Drake,"Hold On, We're Going Home",1216112,14417524
Drake,Headlines,1097676,14675106
Drake,Jimmy Cooks (feat. 21 Savage),1012487,17110114
Drake,Over,988908,6489673
Drake,Take Care,935313,7848257
Drake,Rich Flex,927900,11844580
Drake,Nice for What,922085,11719725
Drake,Fair Trade (with Travis Scott),864240,13383461
Drake,Teenage Fever,862341,12458405
Drake,Marvins Room,840420,9989125
Drake,Nonstop,802387,8321954
Drake,IDGAF (feat. Yeat),790729,10750177
Drake,In My Feelings,758367,6470422
Drake,Yebba’s Heartbreak,742845,10712097
Rihanna,Don't Stop the Music,2452802,18609326
Rihanna,Only Girl (In the World),2283914,23771965
Rihanna,Umbrella,2246884,16721818
Rihanna,S&M,2158496,21664499
Rihanna,Disturbia,2054800,17771571
Rihanna,We Found Love,1914571,16034678
Rihanna,Rude Boy,1714575,13818884
Rihanna,Diamonds,1659630,15698321
Rihanna,Shut Up and Drive,1600196,12257748
Rihanna,Where Have You Been,1520120,14038546
Rihanna,Love on the Brain,1445858,17602481
Rihanna,Pon de Replay,1418108,8815478
Rihanna,Needed Me,1414110,16199376
Rihanna,Breakin' Dishes,1389016,14786670
Rihanna,SOS,1312052,9269843
Rihanna,Work,1152405,9924917
Rihanna,Stay,1127736,9408081
Rihanna,Take a Bow,1110731,7603762
Rihanna,FourFiveSeconds,1037416,7321186
Rihanna,Bitch Better Have My Money,1008009,8644247
"Tyler, The Creator",See You Again (feat. Kali Uchis),2467932,54821311
